make,model,year,mileage,body_type,transmission,fuel_type,drivetrain,engine_cylinders,engine_volume,color,price
HONDA,FIT,2003,178000,Hatchback,Variator,Petrol,Front,4.0,1.5,Silver,94
SSANGYONG,Korando,2013,85704,Jeep,Automatic,Diesel,Front,4.0,2.0,Silver,25591
HYUNDAI,Santa FE,2010,58962,Jeep,Automatic,Diesel,Front,4.0,2.0,White,14897
TOYOTA,Camry,2013,90000,Sedan,Tiptronic,Hybrid,Front,4.0,2.5,White,23521
RENAULT,Clio,1995,50000,Hatchback,Manual,Petrol,Front,3.0,1.2,Green,3450
MAZDA,616,2014,0,Sedan,Automatic,Petrol,Front,4.0,2.5,Red,706
TOYOTA,Highlander,2009,318358,Sedan,Automatic,Hybrid,4x4,6.0,3.3,Black,1019
FORD,Fusion,2015,71454,Sedan,Automatic,Petrol,Front,4.0,2.0,Black,16935
TOYOTA,Camry,2012,0,Sedan,Tiptronic,Petrol,Front,4.0,2.5,Black,19444
HYUNDAI,Sonata,2014,346470,Sedan,Automatic,LPG,Front,4.0,2.0,Silver,11604
HYUNDAI,Santa FE,2016,59515,Jeep,Automatic,Diesel,Front,4.0,2.0,Blue,51965
TOYOTA,Camry,2014,115312,Sedan,Automatic,Hybrid,Front,4.0,2.5,Grey,706
MERCEDES-BENZ,C 220,1999,111111,Sedan,Manual,Diesel,Rear,4.0,2.2,Silver,9408
HYUNDAI,H1,2008,74444,Minivan,Automatic,Diesel,Front,4.0,2.5,Yellow,13328
NISSAN,Serena,2012,143000,Minivan,Tiptronic,Petrol,Front,4.0,2.0,White,17876
NISSAN,Maxima,2004,299709,Sedan,Automatic,Petrol,Front,6.0,3.5,Grey,549
TOYOTA,RAV 4,2008,135000,Jeep,Automatic,Petrol,4x4,4.0,2.4,Silver,20071
HYUNDAI,H1,2011,124444,Minivan,Automatic,Diesel,Front,4.0,2.5,Yellow,22894
HONDA,Civic,2012,146403,Sedan,Automatic,Hybrid,Front,4.0,1.5,White,2901
MITSUBISHI,Pajero,1997,142000,Jeep,Automatic,Petrol,4x4,4.0,2.4,Blue,15681
LEXUS,GX 460,2010,155821,Jeep,Automatic,Petrol,4x4,8.0,4.6,Black,39829
LEXUS,GX 460,2015,102907,Jeep,Automatic,Petrol,4x4,8.0,4.6,Black,706
HYUNDAI,Sonata,2013,130000,Sedan,Tiptronic,Petrol,Front,4.0,2.4,Black,18660
MERCEDES-BENZ,E 300,2017,50930,Sedan,Automatic,Petrol,Rear,4.0,2.0,Black,22580
HYUNDAI,Sonata,2014,264872,Sedan,Automatic,LPG,Front,4.0,2.0,Silver,11604
CHEVROLET,Volt,2014,131893,Hatchback,Automatic,Hybrid,Front,4.0,1.4,Brown,314
GMC,TERRAIN,2013,138958,Jeep,Automatic,Petrol,Front,4.0,2.4,Black,5488
MERCEDES-BENZ,208,1985,1111111,Universal,Manual,Diesel,Rear,4.0,2.5,Black,4300
TOYOTA,Camry,2018,35058,Sedan,Automatic,Hybrid,Front,4.0,2.5,White,18817
HONDA,Hr-v EX,2015,33330,Jeep,Automatic,Petrol,4x4,4.0,1.8,Grey,21169
FIAT,500,2011,141000,Coupe,Automatic,Petrol,Front,4.0,1.2,Red,9095
VOLKSWAGEN,Jetta,2014,82392,Sedan,Automatic,Diesel,Front,4.0,2.0,Silver,1568
SUBARU,Legacy,2005,180000,Goods wagon,Tiptronic,Petrol,4x4,6.0,2.0,Blue,3136
HYUNDAI,Elantra sport limited,2013,117920,Sedan,Tiptronic,Petrol,Front,4.0,1.8,Grey,17876
HYUNDAI,Sonata,2016,279787,Sedan,Automatic,LPG,Front,4.0,2.0,Silver,11290
TOYOTA,Sienna,2010,227200,Minivan,Tiptronic,Petrol,Front,6.0,3.5,White,36065
TOYOTA,Camry,2014,130478,Sedan,Automatic,Hybrid,Front,4.0,2.5,White,862
HYUNDAI,H1,2012,166144,Universal,Automatic,Diesel,Front,4.0,2.5,Silver,21395
HYUNDAI,Sonata,2016,258706,Sedan,Automatic,LPG,Front,4.0,2.0,Silver,15681
CHEVROLET,Volt,2012,188419,Jeep,Automatic,Hybrid,Front,4.0,1.4,Red,627
TOYOTA,Aqua,2016,25807,Hatchback,Automatic,Petrol,Front,4.0,1.5,Black,40070
MERCEDES-BENZ,A 170,2008,180000,Hatchback,Automatic,Petrol,Front,4.0,1.7,Golden,11917
LEXUS,NX 300,2018,18918,Jeep,Tiptronic,Petrol,Front,4.0,2.0,Black,72130
SSANGYONG,REXTON,2013,137267,Jeep,Automatic,Diesel,Front,4.0,2.0,Silver,35927
TOYOTA,Prius,2014,160000,Sedan,Automatic,Hybrid,4x4,4.0,1.8,White,21012
TOYOTA,Tacoma,2018,27358,Sedan,Automatic,Petrol,Front,6.0,3.5,Grey,21012
KIA,Carnival grand,2009,84176,Minivan,Automatic,Diesel,Front,4.0,2.9,White,13172
HYUNDAI,Genesis,2011,107005,Coupe,Automatic,Petrol,Front,4.0,2.0,Grey,15624
OPEL,Vectra,1997,15000,Sedan,Manual,Petrol,Front,4.0,1.6,Beige,4547
INFINITI,QX60,2015,124154,Jeep,Automatic,Petrol,4x4,6.0,3.5,Black,5488
HYUNDAI,Elantra,2012,104997,Sedan,Automatic,Petrol,Front,4.0,1.6,White,20005
VOLKSWAGEN,Passat,2017,27728,Sedan,Tiptronic,Petrol,Front,6.0,1.8,Silver,36110
MERCEDES-BENZ,E 240 E 240,1998,777777,Sedan,Manual,Petrol,Rear,6.0,2.4,Blue,7840
MAZDA,1000,2019,11566,Jeep,Automatic,Petrol,4x4,4.0,2.0,Black,470
AUDI,50,2018,4000,Coupe,Tiptronic,Petrol,Rear,1.0,0.5,Blue,1300
HYUNDAI,Santa FE,2016,113700,Jeep,Automatic,Diesel,Front,4.0,2.0,Silver,43880
MERCEDES-BENZ,C 250,2014,69000,Sedan,Tiptronic,Petrol,Rear,4.0,1.8,Grey,29479
TOYOTA,Camry,2011,152000,Sedan,Variator,Hybrid,Front,4.0,2.5,White,17249
TOYOTA,Vitz funkargo,2003,181926,Universal,Automatic,Petrol,4x4,4.0,1.5,Silver,9408
HYUNDAI,Santa FE,2016,50255,Jeep,Automatic,Diesel,Front,4.0,2.0,Red,44213
BMW,325,2001,252800,Sedan,Manual,Petrol,Rear,6.0,2.5,Grey,8467
AUDI,A6,2014,164488,Sedan,Automatic,Petrol,4x4,6.0,3.0,Silver,627
FORD,Transit,2011,125000,Goods wagon,Manual,Diesel,4x4,4.0,2.4,White,21950
FIAT,500,2012,164574,Hatchback,Automatic,Petrol,Front,4.0,1.4,Red,706
CHEVROLET,Cruze,2014,156992,Sedan,Automatic,Petrol,Front,4.0,1.4,Black,3136
OPEL,Vectra,1995,0,Sedan,Manual,CNG,Front,4.0,2.0,White,3450
MITSUBISHI,Pajero,1998,11000,Jeep,Tiptronic,Petrol,4x4,6.0,3.5,Silver,9408
NISSAN,Pathfinder,2010,90200,Jeep,Tiptronic,LPG,4x4,6.0,4.0,Black,31500
MITSUBISHI,Delica,2005,184000,Minivan,Automatic,Petrol,4x4,6.0,3.0,White,20385
MERCEDES-BENZ,E 350,2014,149486,Sedan,Automatic,Diesel,4x4,6.0,3.5,Silver,314
VOLKSWAGEN,Golf,1996,0,Sedan,Manual,CNG,Front,4.0,2.0,Green,2300
MERCEDES-BENZ,Vaneo,2004,170000,Universal,Tiptronic,LPG,Front,4.0,1.9,Silver,7840
TOYOTA,Camry Se,2018,25000,Sedan,Tiptronic,Petrol,Front,4.0,2.5,Blue,56450
VOLKSWAGEN,Jetta,2014,113214,Universal,Automatic,Diesel,Front,4.0,2.0,Grey,1490
TOYOTA,Tacoma,2012,394069,Sedan,Automatic,Petrol,Rear,4.0,2.7,Black,627
MERCEDES-BENZ,E 350,2014,149486,Sedan,Automatic,Diesel,4x4,6.0,3.5,Silver,314
HONDA,Cr-v,2002,260000,Jeep,Automatic,Petrol,4x4,4.0,2.4,Silver,13172
NISSAN,Patrol Y60,1990,222222,Jeep,Manual,Diesel,Rear,4.0,2.8,Black,19757
AUDI,A7,2013,301707,Hatchback,Automatic,Petrol,4x4,6.0,3.0,Grey,4704
HYUNDAI,Sonata,2013,175827,Sedan,Automatic,Petrol,Front,4.0,2.4,Black,706
MERCEDES-BENZ,E 350,2013,107800,Sedan,Automatic,Diesel,Rear,6.0,3.5,Grey,5802
TOYOTA,Camry,2014,115200,Sedan,Automatic,Petrol,Front,4.0,2.5,Silver,25716
CHEVROLET,Orlando,2012,132036,Jeep,Automatic,LPG,Front,4.0,2.0,White,14426
TOYOTA,RAV 4,2001,91000,Jeep,Automatic,Petrol,4x4,4.0,2.0,Silver,10820
FORD,Explorer,2011,129177,Jeep,Automatic,Petrol,Front,4.0,3.5,White,45436
HYUNDAI,I30,2008,201000,Hatchback,Manual,Diesel,Front,4.0,1.6,Black,11917
HYUNDAI,Santa FE,2015,185811,Jeep,Automatic,Diesel,Front,4.0,2.0,Black,41281
NISSAN,Altima,1998,358400,Sedan,Manual,Petrol,Front,4.0,2.4,Brown,4391
PORSCHE,Cayenne,2018,28968,Sedan,Automatic,Petrol,4x4,6.0,3.6,White,3058
ALFA ROMEO,147,2001,240000,Coupe,Manual,Petrol,Front,4.0,1.8,Black,3700
SUZUKI,Grand Vitara,2008,98000,Jeep,Automatic,Petrol,4x4,4.0,1.6,Black,15681
LEXUS,CT 200h,2011,122302,Hatchback,Automatic,Hybrid,Front,4.0,1.8,Black,6586
TOYOTA,Prius,2007,140000,Hatchback,Automatic,Hybrid,Front,4.0,1.5,Beige,12544
HYUNDAI,Tucson,2014,120000,Jeep,Automatic,Diesel,Front,4.0,2.0,White,30063
PORSCHE,Panamera,2010,196800,Hatchback,Tiptronic,Petrol,4x4,8.0,4.8,White,72130
HYUNDAI,Veloster,2015,17200,Hatchback,Tiptronic,Petrol,Front,4.0,1.6,Red,21639
TOYOTA,RAV 4 XLE Sport,2013,120000,Jeep,Tiptronic,Petrol,Front,4.0,2.5,White,36692
HONDA,FIT,2002,0,Hatchback,Automatic,Petrol,Front,4.0,1.5,Silver,30
TOYOTA,Aqua,2014,66000,Hatchback,Variator,Hybrid,Front,4.0,1.5,Silver,12231
TOYOTA,Sienta,2004,300000,Sedan,Variator,Petrol,Front,4.0,1.5,Beige,3136
TOYOTA,Prius,2009,230000,Sedan,Variator,Hybrid,Front,4.0,1.8,Grey,10663
HONDA,FIT,2013,110467,Hatchback,Automatic,Petrol,Front,4.0,1.3,White,5620
MERCEDES-BENZ,CLS 550,2010,157000,Sedan,Automatic,Petrol,Front,4.0,5.5,Grey,19130
HONDA,FIT,2012,64000,Hatchback,Variator,Hybrid,Front,4.0,1.3,Black,9408
HYUNDAI,Elantra,2011,80000,Sedan,Tiptronic,Petrol,Front,4.0,1.8,Grey,3
VOLKSWAGEN,Passat,2013,179200,Sedan,Tiptronic,Diesel,Front,4.0,2.0,White,15367
CHEVROLET,Avalanche,2011,246976,Sedan,Automatic,Petrol,Front,8.0,5.3,Black,5959
HYUNDAI,H1,2014,179918,Minivan,Automatic,Diesel,Front,4.0,2.5,Silver,26594
TOYOTA,Avalon LIMITED,2013,92200,Sedan,Tiptronic,Hybrid,Front,4.0,2.5,Beige,36065
KIA,Cerato K3,2016,29000,Sedan,Tiptronic,Diesel,Front,4.0,1.6,Silver,26343
MAZDA,CX-7,2011,216550,Sedan,Automatic,Petrol,Front,4.0,2.5,Black,549
JEEP,Grand Cherokee,1993,240000,Jeep,Automatic,Petrol,4x4,6.0,4.0,Green,6000
LEXUS,GX 470,2010,357246,Jeep,Automatic,Petrol,4x4,8.0,4.6,Grey,40142
HYUNDAI,Elantra,2013,50000,Sedan,Tiptronic,Petrol,Front,4.0,1.8,Grey,14000
CHEVROLET,Cruze,2014,127842,Sedan,Automatic,Petrol,Front,4.0,1.4,White,17923
HYUNDAI,Tucson,2017,40193,Jeep,Automatic,Petrol,Front,4.0,1.6,Black,54518
OPEL,Astra G,2003,180000,Hatchback,Manual,Petrol,Front,4.0,1.6,Silver,10349
TOYOTA,Ist,2002,115000,Hatchback,Automatic,Petrol,Front,4.0,1.3,Silver,8154
FORD,Escape,2008,220474,Jeep,Automatic,Hybrid,Front,4.0,0.4,Grey,282
VOLKSWAGEN,Passat,2013,132310,Sedan,Automatic,Diesel,Front,4.0,2.0,Grey,7527
TOYOTA,Camry,2017,60762,Sedan,Automatic,Petrol,Front,4.0,2.5,White,3450
HYUNDAI,Tucson,2010,142264,Jeep,Automatic,Diesel,Front,4.0,2.0,White,22063
HONDA,Civic,2012,146403,Sedan,Automatic,Hybrid,Front,4.0,1.5,White,2901
TOYOTA,Corolla,2013,227371,Sedan,Automatic,Petrol,Front,4.0,1.8,Silver,4704
VOLKSWAGEN,Passat,2002,175000,Sedan,Manual,Petrol,Front,6.0,2.8,Grey,5331
VOLKSWAGEN,Jetta,2012,203440,Sedan,Automatic,Diesel,Front,4.0,2.0,Black,941
HONDA,FIT,2013,70000,Hatchback,Automatic,Petrol,Front,4.0,1.5,Blue,16900
NISSAN,Rogue,2010,122000,Jeep,Automatic,Petrol,4x4,4.0,2.5,Silver,18189
MAZDA,MPV,2000,127000,Minivan,Automatic,Petrol,Front,4.0,2.5,Green,5331
MERCEDES-BENZ,GLA 250,2017,44995,Jeep,Automatic,Petrol,4x4,4.0,2.0,Black,42651
TOYOTA,Prius,2012,122324,Hatchback,Automatic,Hybrid,Front,4.0,1.8,Red,15524
BMW,530,2007,111111,Sedan,Tiptronic,Petrol,Rear,6.0,3.0,Grey,17249
LEXUS,GS 350,2013,56000,Sedan,Tiptronic,Petrol,Rear,6.0,3.5,Black,73071
FORD,Fusion,2014,186048,Sedan,Automatic,Hybrid,Front,4.0,2.0,Black,862
HYUNDAI,Elantra,2017,98000,Sedan,Automatic,Diesel,Front,4.0,1.6,White,28909
HYUNDAI,Sonata,2012,573249,Sedan,Automatic,LPG,Front,4.0,2.0,Black,8467
TOYOTA,Aqua,2013,130000,Sedan,Automatic,Hybrid,Rear,4.0,1.5,Sky blue,50
HYUNDAI,Sonata,2014,169024,Sedan,Automatic,LPG,Front,4.0,2.0,White,14426
VOLKSWAGEN,Sharan,2011,126000,Minivan,Automatic,Petrol,Front,4.0,1.4,Silver,9000
MERCEDES-BENZ,E 350,2014,200179,Sedan,Automatic,Diesel,4x4,6.0,3.5,Black,30734
TOYOTA,Camry,2013,156666,Sedan,Automatic,Petrol,Front,4.0,2.5,Black,22580
CHEVROLET,Volt,2014,133195,Jeep,Automatic,Hybrid,Front,4.0,1.4,Black,862
HONDA,FIT,2014,114950,Hatchback,Automatic,Hybrid,Front,4.0,1.3,Blue,7464
FORD,Fusion,2016,154850,Sedan,Automatic,Petrol,Front,4.0,2.5,Black,1333
HYUNDAI,Tucson,2019,13000,Jeep,Automatic,Diesel,Front,4.0,1.6,White,59865
TOYOTA,Tacoma,2017,94262,Jeep,Automatic,Petrol,Rear,4.0,2.7,White,49237
HYUNDAI,H1,2018,27406,Universal,Automatic,Diesel,Front,4.0,2.5,Yellow,68223
MERCEDES-BENZ,E 300,2017,1600,Sedan,Automatic,Petrol,Rear,4.0,2.0,Black,392
NISSAN,Tiida,2006,200000,Sedan,Variator,CNG,Front,4.0,1.8,Silver,7683
FORD,Fusion,2013,85500,Sedan,Automatic,Petrol,Front,4.0,1.6,Black,22266
MERCEDES-BENZ,E 350,2008,175614,Sedan,Automatic,Diesel,Rear,6.0,3.0,Black,2430
FORD,Fusion,2014,0,Sedan,Automatic,Hybrid,Front,4.0,2.0,Silver,282
NISSAN,Juke,2015,85944,Jeep,Automatic,Petrol,4x4,4.0,1.6,Black,392
MERCEDES-BENZ,C 300,2015,0,Sedan,Automatic,Petrol,Rear,4.0,2.0,Black,33556
SSANGYONG,Actyon,2017,73000,Jeep,Automatic,Diesel,Front,4.0,1.6,White,39161
FORD,Transit,2008,180000,Microbus,Manual,Diesel,Front,4.0,2.2,White,16308
